,date,economic_support_index
35502,2021-03-06,62.5
35503,2021-03-07,62.5
35504,2021-03-08,62.5
35505,2021-03-09,62.5
35506,2021-03-10,62.5
35507,2021-03-11,62.5
35508,2021-03-12,62.5
35509,2021-03-13,62.5
35510,2021-03-14,62.5
35511,2021-03-15,62.5
35512,2021-03-16,62.5
35513,2021-03-17,62.5
35514,2021-03-18,62.5
35515,2021-03-19,62.5
35516,2021-03-20,62.5
35517,2021-03-21,62.5
35518,2021-03-22,62.5
35519,2021-03-23,62.5
35520,2021-03-24,62.5
35521,2021-03-25,62.5
35522,2021-03-26,62.5
35523,2021-03-27,62.5
35524,2021-03-28,62.5
35525,2021-03-29,62.5
35526,2021-03-30,62.5
35527,2021-03-31,62.5
35528,2021-04-01,62.5
35529,2021-04-02,62.5
35530,2021-04-03,62.5
35531,2021-04-04,62.5
35532,2021-04-05,62.5
35533,2021-04-06,62.5
35534,2021-04-07,62.5
35535,2021-04-08,62.5
35536,2021-04-09,62.5
35537,2021-04-10,62.5
35538,2021-04-11,62.5
35539,2021-04-12,62.5
35540,2021-04-13,62.5
35541,2021-04-14,62.5
35542,2021-04-15,62.5
35543,2021-04-16,62.5
35544,2021-04-17,62.5
35545,2021-04-18,62.5
35546,2021-04-19,62.5
35547,2021-04-20,62.5
35548,2021-04-21,62.5
35549,2021-04-22,62.5
35550,2021-04-23,62.5
35551,2021-04-24,62.5
35552,2021-04-25,62.5
35553,2021-04-26,62.5
35554,2021-04-27,62.5
35555,2021-04-28,62.5
35556,2021-04-29,62.5
35557,2021-04-30,62.5
35558,2021-05-01,62.5
35559,2021-05-02,62.5
35560,2021-05-03,62.5
35561,2021-05-04,62.5
35562,2021-05-05,62.5
35563,2021-05-06,62.5
35564,2021-05-07,62.5
35565,2021-05-08,62.5
35566,2021-05-09,62.5
35567,2021-05-10,62.5
35568,2021-05-11,62.5
35569,2021-05-12,62.5
35570,2021-05-13,62.5
35571,2021-05-14,62.5
35572,2021-05-15,62.5
35573,2021-05-16,62.5
35574,2021-05-17,62.5
35575,2021-05-18,62.5
35576,2021-05-19,62.5
35577,2021-05-20,62.5
35578,2021-05-21,62.5
35579,2021-05-22,62.5
35580,2021-05-23,62.5
35581,2021-05-24,62.5
35582,2021-05-25,62.5
35583,2021-05-26,62.5
35584,2021-05-27,62.5
35585,2021-05-28,62.5
35586,2021-05-29,62.5
35587,2021-05-30,62.5
35588,2021-05-31,62.5
35589,2021-06-01,62.5
35590,2021-06-02,62.5
35591,2021-06-03,62.5
35592,2021-06-04,62.5
35593,2021-06-05,62.5
35594,2021-06-06,62.5
35595,2021-06-07,62.5
35596,2021-06-08,62.5
35597,2021-06-09,62.5
35598,2021-06-10,62.5
35599,2021-06-11,62.5
35600,2021-06-12,62.5
35601,2021-06-13,62.5
35602,2021-06-14,62.5
35603,2021-06-15,62.5
35604,2021-06-16,62.5
35605,2021-06-17,62.5
35606,2021-06-18,62.5
35607,2021-06-19,62.5
35608,2021-06-20,62.5
35609,2021-06-21,62.5
35610,2021-06-22,62.5
35611,2021-06-23,62.5
35612,2021-06-24,62.5
35613,2021-06-25,62.5
35614,2021-06-26,62.5
35615,2021-06-27,62.5
35616,2021-06-28,62.5
35617,2021-06-29,62.5
35618,2021-06-30,62.5
35619,2021-07-01,62.5
35620,2021-07-02,62.5
35621,2021-07-03,62.5
35622,2021-07-04,62.5
35623,2021-07-05,62.5
35624,2021-07-06,62.5
35625,2021-07-07,62.5
35626,2021-07-08,62.5
35627,2021-07-09,62.5
35628,2021-07-10,62.5
35629,2021-07-11,62.5
35630,2021-07-12,62.5
35631,2021-07-13,62.5
35632,2021-07-14,62.5
35633,2021-07-15,62.5
35634,2021-07-16,62.5
35635,2021-07-17,62.5
35636,2021-07-18,62.5
35637,2021-07-19,62.5
35638,2021-07-20,62.5
35639,2021-07-21,62.5
35640,2021-07-22,62.5
35641,2021-07-23,62.5
35642,2021-07-24,62.5
35643,2021-07-25,62.5
35644,2021-07-26,62.5
