,country_name,date,school_closing_c1m,workplace_closing_c2m,public_events_cancel_c3m,restrictions_on_gatherings_c4m,public_transpor_closing_c5m,stay_home_requirement_c6m,restrictions_internal_movement_c7m,international_travel_controls_c8ev,income_support_e1,debt_contract_relief_e2,public_information_campaigns_h1,testing_policy_h2,contact_tracing_h3,vaccines_investment_h5,facial_coverings_h6m,vaccination_policy_h7,protection_elderly_people_h8m,vaccine_prioritisation_s_v1,vaccine_availabitlity_s_v2a,vaccine_financial_support_s_v3,confirmed_cases,confirmed_deaths,majority_vaccinated,population_vaccinated,stringency_index_average,goverment_response_index_average,containment_health_index_average,economic_support_index
83768,India,2021-04-17,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,14788003.0,177150.0,NV,1.14,69.91,68.28,78.04,0.0
83769,India,2021-04-18,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,15061805.0,178769.0,NV,1.16,69.91,68.28,78.04,0.0
83770,India,2021-04-19,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,15320972.0,180530.0,NV,1.23,73.61,70.36,80.42,0.0
83771,India,2021-04-20,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,15616130.0,182553.0,NV,1.23,73.61,70.36,80.42,0.0
83772,India,2021-04-21,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,15930774.0,184657.0,NV,1.27,73.61,70.36,80.42,0.0
83773,India,2021-04-22,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,16263695.0,186920.0,NV,1.35,73.61,70.36,80.42,0.0
83774,India,2021-04-23,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,16610481.0,189544.0,NV,1.35,73.61,70.36,80.42,0.0
83775,India,2021-04-24,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,16960172.0,192311.0,NV,1.35,73.61,70.36,80.42,0.0
83776,India,2021-04-25,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,17313163.0,195123.0,NV,1.51,73.61,70.36,80.42,0.0
83777,India,2021-04-26,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,17636186.0,197894.0,NV,1.6,73.61,70.36,80.42,0.0
83778,India,2021-04-27,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,17997113.0,201187.0,NV,1.67,73.61,70.36,80.42,0.0
83779,India,2021-04-28,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,18376421.0,204832.0,NV,1.73,73.61,70.36,80.42,0.0
83780,India,2021-04-29,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,18762976.0,208330.0,NV,1.8,73.61,70.36,80.42,0.0
83781,India,2021-04-30,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,19164969.0,211853.0,NV,1.88,73.61,70.36,80.42,0.0
83782,India,2021-05-01,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,5.0,3.0,2,2,4,19557457.0,215542.0,NV,1.93,73.61,71.61,81.85,0.0
83783,India,2021-05-02,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,5.0,3.0,2,2,4,19925517.0,218959.0,NV,1.94,73.61,71.61,81.85,0.0
83784,India,2021-05-03,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,5.0,3.0,2,2,4,20282833.0,222408.0,NV,2.0,73.61,71.61,81.85,0.0
